,County,Retail_Recreation,Grocery_Pharmacy,Parks,Transit,Workplace,Residential,State
7,Maricopa County,-42%,-13%,-41%,-46%,-37%,+14%,Arizona
8,Mohave County,-37%,-5%,-27%,-26%,-36%,+10%,Arizona
9,Navajo County,-39%,-23%,+5%,-24%,-30%,+14%,Arizona
10,Pima County,-47%,-14%,-52%,-48%,-39%,+14%,Arizona
11,Pinal County,-33%,-16%,-45%,-45%,-31%,+12%,Arizona
12,Santa Cruz County,-58%,-43%,-62%,-27%,-36%,+22%,Arizona
13,Yavapai County,-43%,-6%,-32%,-38%,-37%,+11%,Arizona
0,Arkansas County,-23%,+8%,,,-24%,,Arkansas
1,Ashley County,-32%,+6%,,,-13%,,Arkansas
2,Baxter County,-34%,+18%,,,-22%,+13%,Arkansas
3,Benton County,-42%,-7%,+21%,-62%,-32%,+12%,Arkansas
4,Boone County,-30%,+5%,,,-35%,+16%,Arkansas
5,Bradley County,-40%,-7%,,,-42%,,Arkansas
6,Carroll County,-42%,-3%,,,-43%,-1%,Arkansas
7,Chicot County,-22%,+4%,,,-35%,,Arkansas
8,Clark County,-26%,-4%,,-37%,-13%,,Arkansas
9,Clay County,-10%,-2%,,,-36%,,Arkansas
10,Cleburne County,-48%,+43%,,,-27%,,Arkansas
11,Cleveland County,,,,,-40%,,Arkansas
12,Columbia County,-20%,-11%,,,-21%,,Arkansas
13,Conway County,-25%,+2%,,-18%,-21%,,Arkansas
14,Craighead County,-44%,-6%,-59%,-14%,-26%,+9%,Arkansas
15,Crawford County,-16%,+6%,,-4%,-20%,+15%,Arkansas
16,Crittenden County,-29%,+10%,,-27%,-25%,+19%,Arkansas
17,Cross County,-55%,+93%,,,-7%,,Arkansas
18,Dallas County,-25%,,,,-25%,,Arkansas
19,Desha County,-22%,+11%,,,-41%,,Arkansas
20,Drew County,-27%,+5%,,,-27%,,Arkansas
21,Faulkner County,-44%,-11%,-2%,,-28%,+11%,Arkansas
22,Franklin County,-10%,-3%,,-22%,-20%,,Arkansas
23,Fulton County,,,,,-31%,,Arkansas
24,Garland County,-41%,+0%,-43%,,-34%,+11%,Arkansas
25,Grant County,-6%,+6%,,,-16%,,Arkansas
26,Greene County,-21%,+5%,,,-23%,+15%,Arkansas
27,Hempstead County,-33%,-3%,,,-25%,,Arkansas
28,Hot Spring County,-16%,+21%,,-37%,-19%,+8%,Arkansas
29,Howard County,-36%,+4%,,,-24%,,Arkansas
30,Independence County,-43%,+50%,,,-16%,+13%,Arkansas
31,Izard County,-22%,+8%,,,-36%,,Arkansas
32,Jackson County,-12%,+24%,,,-32%,,Arkansas
33,Jefferson County,-26%,+21%,,-20%,-25%,+15%,Arkansas
34,Johnson County,-34%,+4%,-12%,,-20%,-2%,Arkansas
35,Lawrence County,-22%,-1%,,,-43%,,Arkansas
36,Lincoln County,-60%,-4%,,,-39%,,Arkansas
37,Little River County,-25%,-4%,,,-42%,,Arkansas
38,Logan County,-24%,+9%,,,-15%,,Arkansas
39,Lonoke County,-24%,+12%,,,-22%,+17%,Arkansas
40,Madison County,-31%,-13%,,,-20%,,Arkansas
41,Marion County,-16%,+3%,,,-31%,,Arkansas
42,Miller County,-35%,-2%,-33%,-47%,-26%,+14%,Arkansas
43,Mississippi County,-13%,+18%,,-26%,-15%,+10%,Arkansas
44,Monroe County,-40%,-8%,,,-39%,,Arkansas
45,Montgomery County,,,,,-35%,,Arkansas
46,Nevada County,-61%,,,-40%,-33%,,Arkansas
47,Newton County,,,,,-29%,,Arkansas
48,Ouachita County,-16%,-20%,,,-19%,,Arkansas
49,Perry County,,,,,-41%,,Arkansas
50,Phillips County,-5%,+16%,,,-17%,,Arkansas
51,Pike County,-30%,-8%,,,-31%,,Arkansas
52,Poinsett County,-2%,+7%,,,-5%,,Arkansas
53,Polk County,-51%,+31%,,,-28%,,Arkansas
54,Pope County,-41%,-6%,,-31%,-20%,+15%,Arkansas
55,Prairie County,,,,,-39%,,Arkansas
56,Pulaski County,-41%,-5%,-18%,-46%,-30%,+11%,Arkansas
57,Randolph County,-33%,+12%,,,-18%,,Arkansas
58,Saline County,-30%,-3%,-44%,-20%,-26%,+11%,Arkansas
59,Scott County,-53%,,,,-33%,,Arkansas
60,Searcy County,,,,,-43%,,Arkansas
61,Sebastian County,-39%,-3%,+0%,-58%,-30%,+10%,Arkansas
62,Sevier County,-35%,-8%,,,-28%,,Arkansas
63,Sharp County,-27%,+0%,,,-25%,,Arkansas
64,St. Francis County,-26%,+28%,,-27%,-18%,,Arkansas
65,Stone County,-23%,+8%,,,-25%,,Arkansas
66,Union County,-32%,-9%,,,-21%,+10%,Arkansas
67,Van Buren County,-33%,,,,-38%,,Arkansas
68,Washington County,-43%,-9%,+13%,-30%,-33%,+12%,Arkansas
69,White County,-30%,+1%,-9%,-19%,-20%,+13%,Arkansas
0,Alameda County,-59%,-23%,-30%,-65%,-45%,+19%,California
1,Amador County,-35%,-26%,-64%,,-39%,+0%,California
2,Butte County,-35%,-1%,-22%,-34%,-31%,+10%,California
3,Calaveras County,-41%,-18%,-54%,,-34%,+10%,California
4,Colusa County,-46%,-6%,,-38%,-30%,,California
5,Contra Costa County,-47%,-7%,-17%,-51%,-43%,+17%,California
6,Del Norte County,-31%,-11%,+20%,,-23%,,California
7,El Dorado County,-57%,-27%,-45%,-42%,-48%,+14%,California
8,Fresno County,-39%,-3%,-46%,-39%,-31%,+13%,California
9,Glenn County,-47%,+25%,-36%,-16%,-26%,+2%,California
10,Humboldt County,-45%,-14%,-18%,-55%,-35%,+12%,California
11,Imperial County,-60%,-30%,-77%,-67%,-37%,+22%,California
12,Inyo County,-81%,-37%,-52%,,-43%,,California
13,Kern County,-39%,-2%,-24%,-37%,-29%,+13%,California
14,Kings County,-34%,+3%,-39%,-49%,-27%,+11%,California
15,Lake County,-33%,+5%,-40%,-42%,-36%,+17%,California
16,Lassen County,-37%,-3%,,,-19%,,California
17,Los Angeles County,-51%,-19%,-54%,-52%,-43%,+20%,California
18,Madera County,-30%,-10%,-29%,-26%,-32%,+13%,California
19,Marin County,-59%,-29%,-63%,-55%,-46%,+19%,California
20,Mariposa County,-86%,-54%,-83%,,-51%,,California
21,Mendocino County,-39%,-12%,-51%,-39%,-31%,+17%,California
22,Merced County,-38%,-8%,-25%,-34%,-29%,+13%,California
23,Modoc County,-59%,+4%,,,-28%,,California
24,Mono County,-96%,-67%,-46%,,-70%,,California
25,Monterey County,-45%,-10%,-56%,-32%,-33%,+13%,California
26,Napa County,-51%,-28%,-14%,-34%,-50%,+16%,California
27,Nevada County,-53%,-24%,-48%,-71%,-41%,+13%,California
28,Orange County,-51%,-13%,-42%,-47%,-43%,+19%,California
29,Placer County,-50%,-13%,-15%,-51%,-41%,+14%,California
30,Plumas County,-64%,-18%,,,-18%,,California
31,Riverside County,-42%,-12%,-59%,-45%,-39%,+17%,California
32,Sacramento County,-44%,-3%,-23%,-54%,-37%,+14%,California
33,San Benito County,-44%,-9%,-54%,,-38%,+25%,California
34,San Bernardino County,-43%,-11%,-44%,-45%,-35%,+16%,California
35,San Diego County,-49%,-17%,-68%,-63%,-42%,+19%,California
36,San Francisco County,-77%,-33%,-59%,-70%,-54%,+22%,California
37,San Joaquin County,-37%,-1%,-14%,-25%,-31%,+14%,California
38,San Luis Obispo County,-53%,-19%,-37%,-56%,-39%,+14%,California
39,San Mateo County,-60%,-20%,-38%,-83%,-47%,+21%,California
40,Santa Barbara County,-49%,-12%,-33%,-49%,-36%,+14%,California
41,Santa Clara County,-61%,-26%,-17%,-63%,-48%,+20%,California
42,Santa Cruz County,-56%,-16%,-63%,-56%,-40%,+17%,California
43,Shasta County,-36%,+3%,+33%,-24%,-29%,+9%,California
44,Siskiyou County,-24%,+2%,+37%,-7%,-23%,+10%,California
45,Solano County,-43%,-4%,-18%,-39%,-35%,+15%,California
46,Sonoma County,-50%,-14%,-59%,-49%,-41%,+16%,California
47,Stanislaus County,-42%,-4%,-15%,-27%,-32%,+13%,California
48,Sutter County,-37%,-4%,-19%,-20%,-37%,+12%,California
49,Tehama County,-27%,+11%,-5%,-28%,-24%,+14%,California
50,Trinity County,-39%,+0%,,,-35%,,California
51,Tulare County,-36%,-2%,-47%,-32%,-29%,+12%,California
52,Tuolumne County,-41%,+1%,-72%,,-34%,+14%,California
53,Ventura County,-44%,-18%,-38%,-37%,-36%,+16%,California
54,Yolo County,-41%,-9%,-9%,-30%,-38%,+15%,California
0,Adams County,-41%,-4%,+0%,-27%,-36%,+14%,Colorado
1,Alamosa County,-40%,-15%,,,-24%,,Colorado
2,Arapahoe County,-45%,-12%,+22%,-27%,-41%,+16%,Colorado
3,Archuleta County,-58%,-20%,,,-44%,,Colorado
4,Bent County,,,,,-32%,,Colorado
5,Boulder County,-53%,-15%,+11%,-42%,-45%,+16%,Colorado
6,Broomfield County,-50%,-19%,+23%,-41%,-41%,+28%,Colorado
7,Chaffee County,-51%,-34%,-16%,,-41%,,Colorado
8,Clear Creek County,-87%,-53%,-16%,,-47%,,Colorado
9,Conejos County,,,,,-36%,,Colorado
10,Delta County,-27%,-11%,+2%,,-23%,+5%,Colorado
11,Denver County,-60%,-8%,-10%,-71%,-45%,+16%,Colorado
12,Douglas County,-49%,-19%,+18%,-23%,-43%,+15%,Colorado
13,Eagle County,-69%,-33%,-45%,-66%,-72%,+26%,Colorado
14,El Paso County,-40%,-8%,+4%,-45%,-39%,+13%,Colorado
15,Elbert County,-19%,-25%,,,-30%,+0%,Colorado
16,Fremont County,-19%,+2%,-5%,,-33%,+12%,Colorado
17,Garfield County,-44%,-17%,+16%,-36%,-41%,+20%,Colorado
18,Gilpin County,,,,,-65%,,Colorado
19,Grand County,-82%,-43%,-84%,-43%,-59%,,Colorado
20,Gunnison County,-65%,-38%,-43%,,-49%,,Colorado
21,Huerfano County,-50%,-10%,,,-28%,,Colorado
22,Jefferson County,-44%,-17%,+5%,-31%,-41%,+15%,Colorado
23,Kiowa County,,,,-41%,,,Colorado
24,Kit Carson County,-34%,-20%,,-30%,-18%,,Colorado
25,La Plata County,-51%,-7%,+21%,-59%,-46%,+21%,Colorado
26,Lake County,-77%,-34%,,,-55%,,Colorado
27,Larimer County,-50%,-6%,+13%,-38%,-39%,+14%,Colorado
28,Las Animas County,-37%,-27%,,,-28%,,Colorado
29,Lincoln County,-36%,-12%,,-33%,-26%,,Colorado
30,Logan County,-34%,-13%,,,-28%,,Colorado
31,Mesa County,-36%,-7%,+97%,-27%,-35%,+8%,Colorado
32,Moffat County,-27%,-24%,,,-30%,,Colorado
33,Montezuma County,-48%,+2%,,,-28%,-1%,Colorado
34,Montrose County,-35%,-10%,,,-32%,+14%,Colorado
35,Morgan County,-37%,-17%,-4%,-17%,-22%,+15%,Colorado
36,Otero County,-25%,-17%,,,-21%,,Colorado
37,Ouray County,-28%,,,,-56%,,Colorado
38,Park County,-63%,-41%,+46%,,-36%,,Colorado
39,Phillips County,,,,,-39%,,Colorado
40,Pitkin County,-100%,-53%,,-87%,-72%,,Colorado
41,Prowers County,-18%,-4%,,-36%,-14%,,Colorado
42,Pueblo County,-38%,-1%,-50%,-23%,-28%,+10%,Colorado
43,Rio Blanco County,,,,,-28%,,Colorado
44,Rio Grande County,-25%,-20%,,,-24%,,Colorado
45,Routt County,-79%,-48%,-69%,-65%,-60%,-2%,Colorado
46,Saguache County,,,,,-44%,,Colorado
47,San Miguel County,-80%,,,,-71%,,Colorado
48,Summit County,-84%,-71%,-77%,-67%,-64%,+5%,Colorado
49,Teller County,-24%,-19%,,,-51%,-1%,Colorado
50,Washington County,,,,,-39%,,Colorado
51,Weld County,-34%,-6%,+24%,-23%,-33%,+14%,Colorado
0,Fairfield County,-52%,-17%,+53%,-65%,-45%,+17%,Connecticut
1,Hartford County,-47%,-9%,+88%,-50%,-39%,+14%,Connecticut
2,Litchfield County,-35%,-6%,+26%,,-37%,+14%,Connecticut
3,Middlesex County,-41%,+0%,+42%,-43%,-38%,+14%,Connecticut
4,New Haven County,-44%,-8%,+43%,-50%,-39%,+14%,Connecticut
5,New London County,-45%,-3%,+83%,-50%,-41%,+15%,Connecticut
6,Tolland County,-46%,-3%,+4%,-34%,-40%,+14%,Connecticut
0,Kent County,-35%,-16%,+9%,-24%,-35%,+13%,Delaware
1,New Castle County,-44%,-19%,+32%,-50%,-39%,+15%,Delaware
0,District of Columbia,-69%,-28%,-65%,-69%,-48%,+17%,District of Columbia
0,Alachua County,-51%,-19%,-39%,-49%,-32%,+14%,Florida
1,Baker County,-27%,-6%,,-60%,-20%,-3%,Florida
2,Bay County,-43%,-13%,-18%,-54%,-29%,+11%,Florida
3,Bradford County,-27%,+21%,,,-26%,+0%,Florida
4,Brevard County,-44%,-17%,-32%,-46%,-38%,+13%,Florida
5,Broward County,-52%,-23%,-69%,-75%,-43%,+20%,Florida
6,Calhoun County,-49%,-14%,,,-41%,,Florida
7,Charlotte County,-50%,-21%,-49%,-43%,-39%,+13%,Florida
8,Citrus County,-41%,+3%,-43%,,-33%,+11%,Florida
9,Clay County,-33%,-1%,-22%,,-33%,+12%,Florida
10,Collier County,-55%,-25%,-70%,-55%,-44%,+17%,Florida
11,Columbia County,-44%,+12%,-42%,-46%,-23%,+10%,Florida
12,DeSoto County,-42%,-5%,-37%,,-16%,+11%,Florida
13,Dixie County,-34%,-6%,,,-23%,,Florida
14,Duval County,-40%,-8%,-45%,-41%,-35%,+13%,Florida
15,Escambia County,-41%,-5%,-11%,-44%,-31%,+11%,Florida
16,Flagler County,-43%,+1%,-55%,,-39%,+13%,Florida
17,Franklin County,-83%,-23%,-45%,,-31%,,Florida
18,Gadsden County,-27%,+5%,,-44%,-22%,+20%,Florida
19,Gilchrist County,-40%,-12%,-44%,,-28%,,Florida
20,Glades County,-62%,,-65%,-29%,-23%,,Florida
21,Gulf County,-77%,-17%,,,-24%,,Florida
22,Hamilton County,-33%,-3%,,-48%,-39%,,Florida
23,Hardee County,-38%,-17%,-34%,,-15%,,Florida
24,Hendry County,-34%,-4%,-52%,,-25%,+13%,Florida
25,Hernando County,-37%,-10%,-41%,-26%,-33%,+12%,Florida
26,Highlands County,-45%,-15%,-57%,,-27%,+11%,Florida
27,Hillsborough County,-49%,-19%,-57%,-71%,-41%,+16%,Florida
28,Holmes County,-43%,-19%,,,-20%,,Florida
29,Indian River County,-48%,-24%,-48%,-54%,-37%,+14%,Florida
30,Jackson County,-31%,-4%,-24%,-41%,-22%,+14%,Florida
31,Jefferson County,-55%,-13%,,,-31%,,Florida
32,Lafayette County,,,,,-39%,,Florida
33,Lake County,-39%,-16%,-35%,-53%,-37%,+14%,Florida
34,Lee County,-54%,-25%,-69%,-76%,-41%,+15%,Florida
35,Leon County,-45%,-15%,-23%,-49%,-34%,+14%,Florida
36,Levy County,-33%,-4%,-36%,,-24%,+15%,Florida
37,Liberty County,,-14%,,,-43%,,Florida
38,Madison County,-58%,-14%,,-42%,-15%,,Florida
39,Manatee County,-48%,-18%,-44%,-57%,-38%,+14%,Florida
40,Marion County,-41%,-11%,-49%,-39%,-33%,+11%,Florida
41,Martin County,-52%,-17%,-44%,-66%,-37%,+15%,Florida
42,Miami-Dade County,-58%,-33%,-81%,-71%,-48%,+22%,Florida
43,Monroe County,-74%,-46%,-77%,-77%,-53%,+17%,Florida
44,Nassau County,-40%,-6%,-42%,-68%,-33%,+11%,Florida
45,Okaloosa County,-41%,-9%,-28%,-50%,-33%,+12%,Florida
46,Okeechobee County,-41%,-7%,-29%,-85%,-26%,+17%,Florida
47,Orange County,-63%,-30%,-53%,-80%,-50%,+18%,Florida
48,Osceola County,-58%,-29%,-47%,-61%,-51%,+19%,Florida
49,Palm Beach County,-49%,-21%,-70%,-60%,-41%,+18%,Florida
50,Pasco County,-40%,-15%,-47%,-32%,-34%,+13%,Florida
51,Pinellas County,-49%,-18%,-35%,-42%,-39%,+15%,Florida
52,Polk County,-40%,-15%,-43%,-36%,-37%,+14%,Florida
53,Putnam County,-29%,+4%,-37%,,-33%,+10%,Florida
54,Santa Rosa County,-23%,-2%,+0%,,-28%,+12%,Florida
55,Sarasota County,-55%,-28%,-66%,-31%,-42%,+14%,Florida
56,Seminole County,-47%,-17%,-33%,-75%,-43%,+16%,Florida
57,St. Johns County,-49%,-2%,-63%,-46%,-42%,+14%,Florida
58,St. Lucie County,-40%,-9%,-24%,-53%,-34%,+14%,Florida
59,Sumter County,-54%,-16%,-41%,-46%,-36%,+11%,Florida
60,Suwannee County,-34%,+0%,-23%,-45%,-22%,+15%,Florida
61,Taylor County,-38%,+2%,,,-22%,,Florida
62,Union County,-42%,-11%,,,-42%,,Florida
63,Volusia County,-44%,-13%,-32%,-42%,-38%,+12%,Florida
64,Wakulla County,-22%,-17%,-10%,,-24%,+17%,Florida
65,Walton County,-50%,-23%,-49%,-34%,-31%,+10%,Florida
0,Appling County,-44%,-20%,,,-16%,,Georgia
1,Atkinson County,-55%,+8%,,,-37%,,Georgia
2,Bacon County,-21%,-27%,,,-39%,,Georgia
3,Baldwin County,-38%,-11%,,,-31%,+16%,Georgia
4,Banks County,-39%,,,,-19%,,Georgia
5,Barrow County,-32%,+2%,,,-31%,+12%,Georgia
6,Bartow County,-41%,+7%,+126%,-28%,-33%,+10%,Georgia
7,Ben Hill County,-41%,+1%,,,-20%,,Georgia
8,Berrien County,-42%,-13%,,,-27%,,Georgia
9,Bibb County,-44%,-3%,-6%,-31%,-30%,+11%,Georgia
10,Bleckley County,-46%,+8%,,,-52%,,Georgia
11,Brantley County,-69%,-7%,,,-27%,,Georgia
12,Brooks County,-50%,-16%,,,-18%,,Georgia
13,Bryan County,-44%,-2%,-19%,-39%,-36%,+24%,Georgia
14,Bulloch County,-42%,-14%,-31%,,-31%,+21%,Georgia
15,Burke County,-35%,-17%,-2%,,-39%,,Georgia
16,Butts County,-47%,-9%,,-24%,-30%,-1%,Georgia
17,Camden County,-34%,+12%,-17%,-38%,-31%,+20%,Georgia
18,Candler County,-67%,-28%,,,-38%,,Georgia
19,Carroll County,-32%,+5%,+0%,-26%,-27%,+10%,Georgia
20,Catoosa County,-42%,+3%,-21%,,-29%,+22%,Georgia
21,Charlton County,-49%,-9%,,,-38%,,Georgia
22,Chatham County,-51%,-19%,-28%,-45%,-43%,+13%,Georgia
23,Chattahoochee County,-61%,-38%,,,-51%,,Georgia
24,Chattooga County,-30%,-5%,,,-35%,,Georgia
25,Cherokee County,-36%,-7%,+134%,,-35%,+13%,Georgia
26,Clarke County,-51%,-14%,-25%,-25%,-39%,+13%,Georgia
27,Clayton County,-29%,-4%,-10%,-82%,-36%,+14%,Georgia
28,Clinch County,,-2%,,,-32%,,Georgia
29,Cobb County,-47%,-8%,-34%,-29%,-41%,+15%,Georgia
30,Coffee County,-40%,-1%,,,-27%,+18%,Georgia
31,Colquitt County,-34%,+1%,,,-24%,+15%,Georgia
32,Columbia County,-37%,+3%,+4%,-34%,-38%,+12%,Georgia
33,Cook County,-36%,-2%,,-42%,-24%,,Georgia
34,Coweta County,-44%,+1%,,-21%,-34%,+13%,Georgia
35,Crawford County,,,,,-24%,,Georgia
36,Crisp County,-32%,-21%,,-20%,-22%,,Georgia
37,Dade County,-52%,-23%,,-32%,-30%,,Georgia
38,Dawson County,-48%,-11%,+6%,,-32%,+0%,Georgia
39,DeKalb County,-43%,-7%,+26%,-36%,-43%,+16%,Georgia
40,Decatur County,-23%,-12%,,,-26%,-3%,Georgia
41,Dodge County,-42%,-18%,,,-23%,,Georgia
42,Dooly County,-59%,-28%,,-40%,-40%,,Georgia
43,Dougherty County,-47%,-16%,-33%,-46%,-34%,+14%,Georgia
44,Douglas County,-35%,-6%,+8%,-14%,-37%,+14%,Georgia
45,Early County,-57%,-29%,,,-44%,,Georgia
46,Effingham County,-23%,+9%,,,-33%,+21%,Georgia
47,Elbert County,-23%,-21%,,,-24%,,Georgia
48,Emanuel County,-36%,+5%,,,-17%,,Georgia
49,Evans County,-38%,-22%,,,-37%,,Georgia
50,Fannin County,-47%,-29%,+66%,,-35%,,Georgia
51,Fayette County,-36%,-6%,+70%,,-37%,+15%,Georgia
52,Floyd County,-34%,+7%,+28%,,-29%,+10%,Georgia
53,Forsyth County,-41%,-22%,+68%,,-38%,+15%,Georgia
54,Franklin County,-52%,-13%,-17%,-38%,-30%,,Georgia
55,Fulton County,-54%,-15%,-38%,-49%,-44%,+16%,Georgia
56,Gilmer County,-38%,-28%,,,-28%,+2%,Georgia
57,Glynn County,-45%,-15%,-9%,-50%,-38%,+11%,Georgia
58,Gordon County,-37%,+2%,,-32%,-38%,+21%,Georgia
59,Grady County,-42%,-13%,,,-25%,-1%,Georgia
60,Greene County,-41%,-27%,,,-30%,,Georgia
61,Gwinnett County,-45%,-8%,+36%,-31%,-41%,+16%,Georgia
62,Habersham County,-36%,+11%,,,-36%,+20%,Georgia
63,Hall County,-36%,-8%,+85%,-17%,-34%,+12%,Georgia
64,Hancock County,,-17%,,,-42%,,Georgia
65,Haralson County,-69%,+26%,-35%,-31%,-28%,+8%,Georgia
66,Harris County,-35%,+0%,+0%,,-29%,+13%,Georgia
67,Hart County,-32%,-11%,,,-29%,,Georgia
68,Heard County,,-15%,,,-47%,,Georgia
69,Henry County,-39%,+4%,-6%,,-38%,+15%,Georgia
70,Houston County,-42%,-9%,-8%,,-34%,+12%,Georgia
71,Irwin County,,-14%,,,-48%,,Georgia
72,Jackson County,-53%,-16%,,-19%,-22%,+20%,Georgia
73,Jasper County,-47%,-13%,,,-23%,,Georgia
74,Jeff Davis County,-41%,-18%,,,-23%,,Georgia
75,Jefferson County,-42%,-13%,,,-21%,,Georgia
76,Jenkins County,-42%,-17%,,,-43%,,Georgia
77,Johnson County,,-13%,,,-42%,,Georgia
78,Jones County,-37%,-14%,,,-35%,+8%,Georgia
79,Lamar County,-49%,-14%,,,-39%,,Georgia
80,Lanier County,-62%,-15%,,,-47%,,Georgia
81,Laurens County,-40%,-10%,,-27%,-25%,+17%,Georgia
82,Lee County,-39%,-24%,,,-34%,+11%,Georgia
83,Liberty County,-32%,-5%,-22%,-30%,-32%,+11%,Georgia
84,Lincoln County,,,,,-37%,,Georgia
85,Long County,,,,,-27%,,Georgia
86,Lowndes County,-42%,-10%,-33%,-41%,-29%,+11%,Georgia
87,Lumpkin County,-38%,+16%,,,-33%,+6%,Georgia
88,Macon County,-59%,-16%,,,-38%,,Georgia
89,Madison County,-56%,+4%,,,-29%,+8%,Georgia
90,Marion County,,-9%,,,-39%,,Georgia
91,McDuffie County,-17%,-2%,,-41%,-27%,,Georgia
