Census,2019,County,State
93653,97311,Dubuque County,Iowa
10302,9208,Emmet County,Iowa
20880,19650,Fayette County,Iowa
16303,15642,Floyd County,Iowa
10680,10070,Franklin County,Iowa
7441,6960,Fremont County,Iowa
9336,8888,Greene County,Iowa
12453,12232,Grundy County,Iowa
10954,10689,Guthrie County,Iowa
15673,14773,Hamilton County,Iowa
11341,10630,Hancock County,Iowa
17534,16846,Hardin County,Iowa
14928,14049,Harrison County,Iowa
20145,19954,Henry County,Iowa
9566,9158,Howard County,Iowa
9815,9558,Humboldt County,Iowa
7089,6860,Ida County,Iowa
16355,16184,Iowa County,Iowa
19848,19439,Jackson County,Iowa
36842,37185,Jasper County,Iowa
16843,18295,Jefferson County,Iowa
130882,151140,Johnson County,Iowa
20638,20681,Jones County,Iowa
10511,10246,Keokuk County,Iowa
15543,14813,Kossuth County,Iowa
35862,33657,Lee County,Iowa
211226,226706,Linn County,Iowa
11387,11035,Louisa County,Iowa
8898,8600,Lucas County,Iowa
11581,11755,Lyon County,Iowa
15679,16338,Madison County,Iowa
22381,22095,Mahaska County,Iowa
33309,33253,Marion County,Iowa
40648,39369,Marshall County,Iowa
15059,15109,Mills County,Iowa
10776,10586,Mitchell County,Iowa
9243,8615,Monona County,Iowa
7970,7707,Monroe County,Iowa
10740,9917,Montgomery County,Iowa
42745,42664,Muscatine County,Iowa
14398,13753,O'Brien County,Iowa
6462,5958,Osceola County,Iowa
15932,15107,Page County,Iowa
9421,8886,Palo Alto County,Iowa
24986,25177,Plymouth County,Iowa
7310,6619,Pocahontas County,Iowa
430640,490161,Polk County,Iowa
93158,93206,Pottawattamie County,Iowa
18914,18504,Poweshiek County,Iowa
5131,4894,Ringgold County,Iowa
10350,9721,Sac County,Iowa
165224,172943,Scott County,Iowa
12167,11454,Shelby County,Iowa
33704,34855,Sioux County,Iowa
89542,97117,Story County,Iowa
17767,16854,Tama County,Iowa
6317,6121,Taylor County,Iowa
12534,12241,Union County,Iowa
7570,7044,Van Buren County,Iowa
35625,34969,Wapello County,Iowa
46225,51466,Warren County,Iowa
21704,21965,Washington County,Iowa
6403,6441,Wayne County,Iowa
38013,35904,Webster County,Iowa
10866,10354,Winnebago County,Iowa
21056,19991,Winneshiek County,Iowa
102172,103107,Woodbury County,Iowa
7598,7381,Worth County,Iowa
13229,12562,Wright County,Iowa
13371,12369,Allen County,Kansas
8102,7858,Anderson County,Kansas
16924,16073,Atchison County,Kansas
4861,4427,Barber County,Kansas
27674,25779,Barton County,Kansas
15173,14534,Bourbon County,Kansas
9984,9564,Brown County,Kansas
65880,66911,Butler County,Kansas
2790,2648,Chase County,Kansas
3669,3250,Chautauqua County,Kansas
21603,19939,Cherokee County,Kansas
2726,2657,Cheyenne County,Kansas
2215,1994,Clark County,Kansas
8535,8002,Clay County,Kansas
9533,8786,Cloud County,Kansas
8601,8179,Coffey County,Kansas
1891,1700,Comanche County,Kansas
36311,34908,Cowley County,Kansas
39134,38818,Crawford County,Kansas
2961,2827,Decatur County,Kansas
19754,18466,Dickinson County,Kansas
7945,7600,Doniphan County,Kansas
110826,122259,Douglas County,Kansas
3037,2798,Edwards County,Kansas
2882,2530,Elk County,Kansas
28452,28553,Ellis County,Kansas
6497,6102,Ellsworth County,Kansas
36776,36467,Finney County,Kansas
33848,33619,Ford County,Kansas
25992,25544,Franklin County,Kansas
34362,31670,Geary County,Kansas
2695,2636,Gove County,Kansas
2597,2482,Graham County,Kansas
7829,7150,Grant County,Kansas
6006,5988,Gray County,Kansas
1247,1232,Greeley County,Kansas
6689,5982,Greenwood County,Kansas
2690,2539,Hamilton County,Kansas
6034,5436,Harper County,Kansas
34684,34429,Harvey County,Kansas
4256,3968,Haskell County,Kansas
1916,1794,Hodgeman County,Kansas
13462,13171,Jackson County,Kansas
19126,19043,Jefferson County,Kansas
3077,2879,Jewell County,Kansas
544179,602401,Johnson County,Kansas
3977,3838,Kearny County,Kansas
7858,7152,Kingman County,Kansas
2553,2475,Kiowa County,Kansas
21607,19618,Labette County,Kansas
1750,1535,Lane County,Kansas
76227,81758,Leavenworth County,Kansas
3241,2962,Lincoln County,Kansas
9656,9703,Linn County,Kansas
2756,2794,Logan County,Kansas
33690,33195,Lyon County,Kansas
29180,28542,McPherson County,Kansas
12660,11884,Marion County,Kansas
10117,9707,Marshall County,Kansas
4575,4033,Meade County,Kansas
32787,34237,Miami County,Kansas
6373,5979,Mitchell County,Kansas
35471,31829,Montgomery County,Kansas
5923,5620,Morris County,Kansas
3233,2587,Morton County,Kansas
10178,10231,Nemaha County,Kansas
16512,16007,Neosho County,Kansas
3107,2750,Ness County,Kansas
5671,5361,Norton County,Kansas
16295,15949,Osage County,Kansas
3858,3421,Osborne County,Kansas
6091,5704,Ottawa County,Kansas
6973,6414,Pawnee County,Kansas
5642,5234,Phillips County,Kansas
21604,24383,Pottawatomie County,Kansas
9656,9164,Pratt County,Kansas
2519,2530,Rawlins County,Kansas
64511,61998,Reno County,Kansas
4980,4636,Republic County,Kansas
10083,9537,Rice County,Kansas
71115,74232,Riley County,Kansas
5181,4920,Rooks County,Kansas
3307,3036,Rush County,Kansas
6970,6856,Russell County,Kansas
55606,54224,Saline County,Kansas
4936,4823,Scott County,Kansas
498365,516042,Sedgwick County,Kansas
22952,21428,Seward County,Kansas
177934,176875,Shawnee County,Kansas
2556,2521,Sheridan County,Kansas
6010,5917,Sherman County,Kansas
3853,3583,Smith County,Kansas
4437,4156,Stafford County,Kansas
2235,2006,Stanton County,Kansas
5724,5485,Stevens County,Kansas
24132,22836,Sumner County,Kansas
7900,7777,Thomas County,Kansas
3001,2803,Trego County,Kansas
7053,6931,Wabaunsee County,Kansas
1485,1518,Wallace County,Kansas
5799,5406,Washington County,Kansas
2234,2119,Wichita County,Kansas
9409,8525,Wilson County,Kansas
3309,3138,Woodson County,Kansas
157505,165429,Wyandotte County,Kansas
18656,19202,Adair County,Kentucky
19956,21315,Allen County,Kentucky
21421,22747,Anderson County,Kentucky
8249,7888,Ballard County,Kentucky
42173,44249,Barren County,Kentucky
11591,12500,Bath County,Kentucky
28691,26032,Bell County,Kentucky
118811,133581,Boone County,Kentucky
19985,19788,Bourbon County,Kentucky
49542,46718,Boyd County,Kentucky
28432,30060,Boyle County,Kentucky
8488,8303,Bracken County,Kentucky
13878,12630,Breathitt County,Kentucky
20059,20477,Breckinridge County,Kentucky
74319,81676,Bullitt County,Kentucky
12690,12879,Butler County,Kentucky
12984,12747,Caldwell County,Kentucky
37191,39001,Calloway County,Kentucky
90336,93584,Campbell County,Kentucky
5104,4760,Carlisle County,Kentucky
10811,10631,Carroll County,Kentucky
27720,26797,Carter County,Kentucky
15955,16159,Casey County,Kentucky
73955,70461,Christian County,Kentucky
35613,36263,Clark County,Kentucky
21730,19901,Clay County,Kentucky
10272,10218,Clinton County,Kentucky
9315,8806,Crittenden County,Kentucky
6856,6614,Cumberland County,Kentucky
96656,101511,Daviess County,Kentucky
12161,12150,Edmonson County,Kentucky
7852,7517,Elliott County,Kentucky
14672,14106,Estill County,Kentucky
295803,323152,Fayette County,Kentucky
14348,14581,Fleming County,Kentucky
39451,35589,Floyd County,Kentucky
49285,50991,Franklin County,Kentucky
6813,5969,Fulton County,Kentucky
8589,8869,Gallatin County,Kentucky
16912,17666,Garrard County,Kentucky
24662,25069,Grant County,Kentucky
37121,37266,Graves County,Kentucky
25746,26427,Grayson County,Kentucky
11258,10941,Green County,Kentucky
36910,35098,Greenup County,Kentucky
8565,8722,Hancock County,Kentucky
105543,110958,Hardin County,Kentucky
29278,26010,Harlan County,Kentucky
18846,18886,Harrison County,Kentucky
18199,19035,Hart County,Kentucky
46250,45210,Henderson County,Kentucky
15416,16126,Henry County,Kentucky
4902,4380,Hickman County,Kentucky
46920,44686,Hopkins County,Kentucky
13494,13329,Jackson County,Kentucky
741096,766757,Jefferson County,Kentucky
48586,54115,Jessamine County,Kentucky
23356,22188,Johnson County,Kentucky
159720,166998,Kenton County,Kentucky
16346,14806,Knott County,Kentucky
31883,31145,Knox County,Kentucky
14193,14398,Larue County,Kentucky
58849,60813,Laurel County,Kentucky
15860,15317,Lawrence County,Kentucky
7887,7403,Lee County,Kentucky
11310,9877,Leslie County,Kentucky
24519,21553,Letcher County,Kentucky
13870,13275,Lewis County,Kentucky
24742,24549,Lincoln County,Kentucky
9519,9194,Livingston County,Kentucky
26835,27102,Logan County,Kentucky
8314,8210,Lyon County,Kentucky
65565,65418,McCracken County,Kentucky
18306,17231,McCreary County,Kentucky
9531,9207,McLean County,Kentucky
82916,92987,Madison County,Kentucky
13333,12161,Magoffin County,Kentucky
19820,19273,Marion County,Kentucky
31448,31100,Marshall County,Kentucky
12929,11195,Martin County,Kentucky
17490,17070,Mason County,Kentucky
28602,28572,Meade County,Kentucky
6306,6489,Menifee County,Kentucky
21331,21933,Mercer County,Kentucky
10099,10071,Metcalfe County,Kentucky
10963,10650,Monroe County,Kentucky
26499,28157,Montgomery County,Kentucky
13923,13309,Morgan County,Kentucky
31499,30622,Muhlenberg County,Kentucky
43437,46233,Nelson County,Kentucky
7135,7269,Nicholas County,Kentucky
23842,23994,Ohio County,Kentucky
60316,66799,Oldham County,Kentucky
10841,10901,Owen County,Kentucky
4755,4415,Owsley County,Kentucky
14877,14590,Pendleton County,Kentucky
28712,25758,Perry County,Kentucky
65024,57876,Pike County,Kentucky
12613,12359,Powell County,Kentucky
63063,64979,Pulaski County,Kentucky
2282,2108,Robertson County,Kentucky
17056,16695,Rockcastle County,Kentucky
23333,24460,Rowan County,Kentucky
17565,17923,Russell County,Kentucky
47173,57004,Scott County,Kentucky
42074,49024,Shelby County,Kentucky
17327,18572,Simpson County,Kentucky
17061,19351,Spencer County,Kentucky
24512,25769,Taylor County,Kentucky
12460,12294,Todd County,Kentucky
14339,14651,Trigg County,Kentucky
8809,8471,Trimble County,Kentucky
15007,14381,Union County,Kentucky
113792,132896,Warren County,Kentucky
11717,12095,Washington County,Kentucky
20813,20333,Wayne County,Kentucky
13621,12942,Webster County,Kentucky
35637,36264,Whitley County,Kentucky
7355,7157,Wolfe County,Kentucky
24939,26734,Woodford County,Kentucky
61773,62045,Acadia Parish,Louisiana
25764,25627,Allen Parish,Louisiana
107215,126604,Ascension Parish,Louisiana
23421,21891,Assumption Parish,Louisiana
42073,40144,Avoyelles Parish,Louisiana
35654,37497,Beauregard Parish,Louisiana
14353,13241,Bienville Parish,Louisiana
116979,127039,Bossier Parish,Louisiana
254969,240204,Caddo Parish,Louisiana
192768,203436,Calcasieu Parish,Louisiana
10132,9918,Caldwell Parish,Louisiana
6839,6973,Cameron Parish,Louisiana
10407,9494,Catahoula Parish,Louisiana
17195,15670,Claiborne Parish,Louisiana
20822,19259,Concordia Parish,Louisiana
26656,27463,De Soto Parish,Louisiana
440171,440059,East Baton Rouge Parish,Louisiana
7759,6861,East Carroll Parish,Louisiana
20267,19135,East Feliciana Parish,Louisiana
33984,33395,Evangeline Parish,Louisiana
20767,20015,Franklin Parish,Louisiana
22309,22389,Grant Parish,Louisiana
73240,69830,Iberia Parish,Louisiana
33387,32511,Iberville Parish,Louisiana
16274,15744,Jackson Parish,Louisiana
432552,432493,Jefferson Parish,Louisiana
31594,31368,Jefferson Davis Parish,Louisiana
221578,244390,Lafayette Parish,Louisiana
96318,97614,Lafourche Parish,Louisiana
14890,14892,LaSalle Parish,Louisiana
46735,46742,Lincoln Parish,Louisiana
128026,140789,Livingston Parish,Louisiana
12093,10951,Madison Parish,Louisiana
27979,24874,Morehouse Parish,Louisiana
39566,38158,Natchitoches Parish,Louisiana
343829,390144,Orleans Parish,Louisiana
153720,153279,Ouachita Parish,Louisiana
23042,23197,Plaquemines Parish,Louisiana
22802,21730,Pointe Coupee Parish,Louisiana
131613,129648,Rapides Parish,Louisiana
9091,8442,Red River Parish,Louisiana
20725,20122,Richland Parish,Louisiana
24233,23884,Sabine Parish,Louisiana
35897,47244,St Bernard Parish,Louisiana
52780,53100,St Charles Parish,Louisiana
11203,10132,St Helena Parish,Louisiana
22102,21096,St James Parish,Louisiana
45924,42837,St John the Baptist Parish,Louisiana
83384,82124,St Landry Parish,Louisiana
52160,53431,St Martin Parish,Louisiana
54650,49348,St Mary Parish,Louisiana
233740,260419,St Tammany Parish,Louisiana
121097,134758,Tangipahoa Parish,Louisiana
5252,4334,Tensas Parish,Louisiana
111860,110461,Terrebonne Parish,Louisiana
22721,22108,Union Parish,Louisiana
57999,59511,Vermilion Parish,Louisiana
52334,47429,Vernon Parish,Louisiana
47168,46194,Washington Parish,Louisiana
41207,38340,Webster Parish,Louisiana
23788,26465,West Baton Rouge Parish,Louisiana
11604,10830,West Carroll Parish,Louisiana
15625,15568,West Feliciana Parish,Louisiana
15313,13904,Winn Parish,Louisiana
107702,108277,Androscoggin County,Maine
71870,67055,Aroostook County,Maine
281674,295003,Cumberland County,Maine
30768,30199,Franklin County,Maine
54418,54987,Hancock County,Maine
122151,122302,Kennebec County,Maine
39736,39772,Knox County,Maine
34457,34634,Lincoln County,Maine
57833,57975,Oxford County,Maine
153923,152148,Penobscot County,Maine
17535,16785,Piscataquis County,Maine
35293,35856,Sagadahoc County,Maine
52228,50484,Somerset County,Maine
38786,39715,Waldo County,Maine
32856,31379,Washington County,Maine
197131,207641,York County,Maine
75087,70416,Allegany County,Maryland
537656,579234,Anne Arundel County,Maryland
805029,827370,Baltimore County,Maryland
88737,92525,Calvert County,Maryland
33066,33406,Caroline County,Maryland
167134,168447,Carroll County,Maryland
101108,102855,Cecil County,Maryland
146551,163257,Charles County,Maryland
32618,31929,Dorchester County,Maryland
233385,259547,Frederick County,Maryland
30097,29014,Garrett County,Maryland
244826,255441,Harford County,Maryland
287085,325690,Howard County,Maryland
20197,19422,Kent County,Maryland
971777,1050688,Montgomery County,Maryland
863420,909327,Prince George's County,Maryland
47798,50381,Queen Anne's County,Maryland
105151,113510,St Mary's County,Maryland
26470,25616,Somerset County,Maryland
37782,37181,Talbot County,Maryland
147430,151049,Washington County,Maryland
98733,103609,Wicomico County,Maryland
51454,52276,Worcester County,Maryland
620961,593490,Baltimore city,Maryland
215888,212990,Barnstable County,Massachusetts
131219,124944,Berkshire County,Massachusetts
548285,565217,Bristol County,Massachusetts
16535,17332,Dukes County,Massachusetts
743159,789034,Essex County,Massachusetts
71372,70180,Franklin County,Massachusetts
463490,466372,Hampden County,Massachusetts
158080,160830,Hampshire County,Massachusetts
1503085,1611699,Middlesex County,Massachusetts
10172,11399,Nantucket County,Massachusetts
670850,706775,Norfolk County,Massachusetts
494919,521202,Plymouth County,Massachusetts
722023,803907,Suffolk County,Massachusetts
798552,830622,Worcester County,Massachusetts
10942,10405,Alcona County,Michigan
9601,9108,Alger County,Michigan
111408,118081,Allegan County,Michigan
29598,28405,Alpena County,Michigan
23580,23324,Antrim County,Michigan
15899,14883,Arenac County,Michigan
8860,8209,Baraga County,Michigan
59173,61550,Barry County,Michigan
107771,103126,Bay County,Michigan
17525,17766,Benzie County,Michigan
156813,153401,Berrien County,Michigan
45248,43517,Branch County,Michigan
136146,134159,Calhoun County,Michigan
52293,51787,Cass County,Michigan
25949,26143,Charlevoix County,Michigan
26152,25276,Cheboygan County,Michigan
38520,37349,Chippewa County,Michigan
30926,30950,Clare County,Michigan
75382,79595,Clinton County,Michigan
14074,14029,Crawford County,Michigan
37069,35784,Delta County,Michigan
26168,25239,Dickinson County,Michigan
107759,110268,Eaton County,Michigan
32694,33415,Emmet County,Michigan
425790,405813,Genesee County,Michigan
25692,25449,Gladwin County,Michigan
16427,13975,Gogebic County,Michigan
86986,93088,Grand Traverse County,Michigan
42476,40711,Gratiot County,Michigan
46688,45605,Hillsdale County,Michigan
36628,35684,Houghton County,Michigan
33118,30981,Huron County,Michigan
280895,292406,Ingham County,Michigan
63905,64697,Ionia County,Michigan
25887,25127,Iosco County,Michigan
11817,11066,Iron County,Michigan
70311,69872,Isabella County,Michigan
160248,158510,Jackson County,Michigan
250331,265066,Kalamazoo County,Michigan
17153,18038,Kalkaska County,Michigan
602622,656955,Kent County,Michigan
2156,2116,Keweenaw County,Michigan
11539,11853,Lake County,Michigan
88319,87607,Lapeer County,Michigan
21708,21761,Leelanau County,Michigan
99892,98451,Lenawee County,Michigan
180967,191995,Livingston County,Michigan
6631,6229,Luce County,Michigan
11113,10799,Mackinac County,Michigan
840978,873972,Macomb County,Michigan
24733,24558,Manistee County,Michigan
67077,66699,Marquette County,Michigan
28705,29144,Mason County,Michigan
42798,43453,Mecosta County,Michigan
24029,22780,Menominee County,Michigan
83629,83156,Midland County,Michigan
14849,15118,Missaukee County,Michigan
152021,150500,Monroe County,Michigan
63342,63888,Montcalm County,Michigan
9765,9328,Montmorency County,Michigan
172188,173566,Muskegon County,Michigan
48460,48980,Newaygo County,Michigan
1202362,1257584,Oakland County,Michigan
26570,26467,Oceana County,Michigan
21699,20997,Ogemaw County,Michigan
6780,5720,Ontonagon County,Michigan
23528,23460,Osceola County,Michigan
8640,8241,Oscoda County,Michigan
24164,24668,Otsego County,Michigan
263801,291830,Ottawa County,Michigan
13376,12592,Presque Isle County,Michigan
24449,24019,Roscommon County,Michigan
200169,190539,Saginaw County,Michigan
163040,159128,St Clair County,Michigan
61295,60964,St Joseph County,Michigan
43114,41170,Sanilac County,Michigan
8485,8094,Schoolcraft County,Michigan
70648,68122,Shiawassee County,Michigan
55729,52245,Tuscola County,Michigan
76258,75677,Van Buren County,Michigan
344791,367601,Washtenaw County,Michigan
1820584,1749343,Wayne County,Michigan
32735,33631,Wexford County,Michigan
16202,15886,Aitkin County,Minnesota
330844,356921,Anoka County,Minnesota
32504,34423,Becker County,Minnesota
44442,47188,Beltrami County,Minnesota
38451,40889,Benton County,Minnesota
5269,4991,Big Stone County,Minnesota
64013,67653,Blue Earth County,Minnesota
25893,25008,Brown County,Minnesota
35386,35871,Carlton County,Minnesota
91042,105089,Carver County,Minnesota
28567,29779,Cass County,Minnesota
12441,11800,Chippewa County,Minnesota
53887,56579,Chisago County,Minnesota
58999,64222,Clay County,Minnesota
8695,8818,Clearwater County,Minnesota
5176,5463,Cook County,Minnesota
11687,11196,Cottonwood County,Minnesota
62500,65055,Crow Wing County,Minnesota
398552,429021,Dakota County,Minnesota
20087,20934,Dodge County,Minnesota
36009,38141,Douglas County,Minnesota
14553,13653,Faribault County,Minnesota
20866,21067,Fillmore County,Minnesota
31255,30281,Freeborn County,Minnesota
46183,46340,Goodhue County,Minnesota
6018,5972,Grant County,Minnesota
1152425,1265843,Hennepin County,Minnesota
19027,18600,Houston County,Minnesota
20428,21491,Hubbard County,Minnesota
37816,40596,Isanti County,Minnesota
45058,45130,Itasca County,Minnesota
10266,9846,Jackson County,Minnesota
16239,16337,Kanabec County,Minnesota
42239,43199,Kandiyohi County,Minnesota
4552,4298,Kittson County,Minnesota
13311,12229,Koochiching County,Minnesota
7259,6623,Lac qui Parle County,Minnesota
10866,10641,Lake County,Minnesota
4045,3740,Lake of the Woods County,Minnesota
27703,28887,Le Sueur County,Minnesota
5896,5639,Lincoln County,Minnesota
25857,25474,Lyon County,Minnesota
36651,35893,McLeod County,Minnesota
5413,5527,Mahnomen County,Minnesota
9439,9336,Marshall County,Minnesota
20840,19683,Martin County,Minnesota
23300,23222,Meeker County,Minnesota
26097,26277,Mille Lacs County,Minnesota
33198,33386,Morrison County,Minnesota
39163,40062,Mower County,Minnesota
8725,8194,Murray County,Minnesota
32727,34274,Nicollet County,Minnesota
21378,21629,Nobles County,Minnesota
6852,6375,Norman County,Minnesota
144248,158293,Olmsted County,Minnesota
57303,58746,Otter Tail County,Minnesota
13930,14119,Pennington County,Minnesota
29750,29579,Pine County,Minnesota
9596,9126,Pipestone County,Minnesota
31600,31364,Polk County,Minnesota
10995,11249,Pope County,Minnesota
508640,550321,Ramsey County,Minnesota
4089,4055,Red Lake County,Minnesota
16059,15170,Redwood County,Minnesota
15730,14548,Renville County,Minnesota
64142,66972,Rice County,Minnesota
9687,9315,Rock County,Minnesota
15629,15165,Roseau County,Minnesota
200226,199070,St Louis County,Minnesota
129928,149013,Scott County,Minnesota
88499,97238,Sherburne County,Minnesota
15226,14865,Sibley County,Minnesota
150642,161075,Stearns County,Minnesota
36576,36649,Steele County,Minnesota
9726,9805,Stevens County,Minnesota
9783,9266,Swift County,Minnesota
24895,24664,Todd County,Minnesota
3558,3259,Traverse County,Minnesota
21676,21627,Wabasha County,Minnesota
13843,13682,Wadena County,Minnesota
19136,18612,Waseca County,Minnesota
238136,262440,Washington County,Minnesota
11211,10897,Watonwan County,Minnesota
6576,6207,Wilkin County,Minnesota
51461,50484,Winona County,Minnesota
124700,138377,Wright County,Minnesota
10438,9709,Yellow Medicine County,Minnesota
32297,30693,Adams County,Mississippi
37057,36953,Alcorn County,Mississippi
13131,12297,Amite County,Mississippi
19564,18174,Attala County,Mississippi
8729,8259,Benton County,Mississippi
34145,30628,Bolivar County,Mississippi
14962,14361,Calhoun County,Mississippi
10597,9947,Carroll County,Mississippi
17392,17103,Chickasaw County,Mississippi
8547,8210,Choctaw County,Mississippi
9604,8988,Claiborne County,Mississippi
16732,15541,Clarke County,Mississippi
20634,19316,Clay County,Mississippi
26151,22124,Coahoma County,Mississippi
29449,28065,Copiah County,Mississippi
19568,18636,Covington County,Mississippi
161252,184945,DeSoto County,Mississippi
74934,74897,Forrest County,Mississippi
8118,7713,Franklin County,Mississippi
22578,24500,George County,Mississippi
14400,13586,Greene County,Mississippi
21906,20758,Grenada County,Mississippi
43929,47632,Hancock County,Mississippi
187105,208080,Harrison County,Mississippi
245285,231840,Hinds County,Mississippi
19198,17010,Holmes County,Mississippi
9375,8064,Humphreys County,Mississippi
1406,1327,Issaquena County,Mississippi
23401,23390,Itawamba County,Mississippi
139668,143617,Jackson County,Mississippi
17062,16383,Jasper County,Mississippi
7726,6990,Jefferson County,Mississippi
12487,11128,Jefferson Davis County,Mississippi
67761,68098,Jones County,Mississippi
10456,9742,Kemper County,Mississippi
47351,54019,Lafayette County,Mississippi
55658,63343,Lamar County,Mississippi
80261,74125,Lauderdale County,Mississippi
12929,12586,Lawrence County,Mississippi
23805,22786,Leake County,Mississippi
82910,85436,Lee County,Mississippi
32317,28183,Leflore County,Mississippi
34869,34153,Lincoln County,Mississippi
59779,58595,Lowndes County,Mississippi
95203,106272,Madison County,Mississippi
27088,24573,Marion County,Mississippi
37144,35294,Marshall County,Mississippi
36989,35252,Monroe County,Mississippi
10925,9775,Montgomery County,Mississippi
29676,29118,Neshoba County,Mississippi
21720,21018,Newton County,Mississippi
11545,10417,Noxubee County,Mississippi
47671,49587,Oktibbeha County,Mississippi
34707,34192,Panola County,Mississippi
55834,55535,Pearl River County,Mississippi
12250,11973,Perry County,Mississippi
40404,39288,Pike County,Mississippi
29957,32174,Pontotoc County,Mississippi
25276,25126,Prentiss County,Mississippi
8223,6792,Quitman County,Mississippi
141617,155271,Rankin County,Mississippi
28264,28124,Scott County,Mississippi
4916,4321,Sharkey County,Mississippi
27503,26658,Simpson County,Mississippi
16491,15916,Smith County,Mississippi
17786,18336,Stone County,Mississippi
29450,25110,Sunflower County,Mississippi
15378,13809,Tallahatchie County,Mississippi
28886,28321,Tate County,Mississippi
22232,22015,Tippah County,Mississippi
19593,19383,Tishomingo County,Mississippi
10778,9632,Tunica County,Mississippi
27134,28815,Union County,Mississippi
15443,14286,Walthall County,Mississippi
48773,45381,Warren County,Mississippi
51137,43909,Washington County,Mississippi
20747,20183,Wayne County,Mississippi
10253,9689,Webster County,Mississippi
9878,8630,Wilkinson County,Mississippi
19198,17955,Winston County,Mississippi
12678,12108,Yalobusha County,Mississippi
28065,29690,Yazoo County,Mississippi
25607,25343,Adair County,Missouri
17291,17712,Andrew County,Missouri
5685,5143,Atchison County,Missouri
25529,25388,Audrain County,Missouri
35597,35789,Barry County,Missouri
12402,11754,Barton County,Missouri
17049,16172,Bates County,Missouri
19056,19443,Benton County,Missouri
12363,12133,Bollinger County,Missouri
162642,180463,Boone County,Missouri
89201,87364,Buchanan County,Missouri
42794,42478,Butler County,Missouri
9424,9020,Caldwell County,Missouri
44332,44743,Callaway County,Missouri
44002,46305,Camden County,Missouri
75674,78871,Cape Girardeau County,Missouri
9295,8679,Carroll County,Missouri
6265,5982,Carter County,Missouri
99478,105780,Cass County,Missouri
13982,14349,Cedar County,Missouri
7831,7426,Chariton County,Missouri
77422,88595,Christian County,Missouri
7139,6797,Clark County,Missouri
221939,249948,Clay County,Missouri
20743,20387,Clinton County,Missouri
75990,76745,Cole County,Missouri
17601,17709,Cooper County,Missouri
24696,23920,Crawford County,Missouri
7883,7561,Dade County,Missouri
16777,16878,Dallas County,Missouri
8433,8278,Daviess County,Missouri
12892,12547,DeKalb County,Missouri
15657,15573,Dent County,Missouri
13684,13185,Douglas County,Missouri
31953,29131,Dunklin County,Missouri
101492,103967,Franklin County,Missouri
15222,14706,Gasconade County,Missouri
6738,6571,Gentry County,Missouri
275174,293086,Greene County,Missouri
10261,9850,Grundy County,Missouri
8957,8352,Harrison County,Missouri
22272,21824,Henry County,Missouri
9627,9544,Hickory County,Missouri
4912,4403,Holt County,Missouri
10144,10001,Howard County,Missouri
40400,40117,Howell County,Missouri
10630,10125,Iron County,Missouri
674158,703011,Jackson County,Missouri
117404,121328,Jasper County,Missouri
218733,225081,Jefferson County,Missouri
52595,54062,Johnson County,Missouri
4131,3959,Knox County,Missouri
35571,35723,Laclede County,Missouri
33381,32708,Lafayette County,Missouri
38634,38355,Lawrence County,Missouri
10211,9776,Lewis County,Missouri
52566,59013,Lincoln County,Missouri
12761,11920,Linn County,Missouri
15195,15227,Livingston County,Missouri
23083,22837,McDonald County,Missouri
15566,15117,Macon County,Missouri
12226,12088,Madison County,Missouri
9176,8697,Maries County,Missouri
28781,28530,Marion County,Missouri
3785,3617,Mercer County,Missouri
24748,25619,Miller County,Missouri
14358,13180,Mississippi County,Missouri
15607,16132,Moniteau County,Missouri
8840,8644,Monroe County,Missouri
12236,11551,Montgomery County,Missouri
20565,20627,Morgan County,Missouri
18956,17076,New Madrid County,Missouri
58114,58236,Newton County,Missouri
23370,22092,Nodaway County,Missouri
10881,10529,Oregon County,Missouri
13878,13615,Osage County,Missouri
9723,9174,Ozark County,Missouri
18296,15805,Pemiscot County,Missouri
18971,19136,Perry County,Missouri
42201,42339,Pettis County,Missouri
45156,44573,Phelps County,Missouri
18516,18302,Pike County,Missouri
89322,104418,Platte County,Missouri
31137,32149,Polk County,Missouri
52274,52607,Pulaski County,Missouri
4979,4696,Putnam County,Missouri
10167,10309,Ralls County,Missouri
25414,24748,Randolph County,Missouri
23494,23018,Ray County,Missouri
6696,6270,Reynolds County,Missouri
14100,13288,Ripley County,Missouri
360485,402022,St Charles County,Missouri
9805,9397,St Clair County,Missouri
18145,17894,Ste Genevieve County,Missouri
65359,67215,St Francois County,Missouri
998954,994205,St Louis County,Missouri
23370,22761,Saline County,Missouri
4431,4660,Schuyler County,Missouri
4843,4902,Scotland County,Missouri
39191,38280,Scott County,Missouri
8441,8166,Shannon County,Missouri
6373,5930,Shelby County,Missouri
29968,29025,Stoddard County,Missouri
32202,31952,Stone County,Missouri
6714,6089,Sullivan County,Missouri
51675,55928,Taney County,Missouri
26008,25398,Texas County,Missouri
21159,20563,Vernon County,Missouri
32513,35649,Warren County,Missouri
25195,24730,Washington County,Missouri
13521,12873,Wayne County,Missouri
36202,39592,Webster County,Missouri
2171,2013,Worth County,Missouri
18815,18289,Wright County,Missouri
319294,300576,St Louis city,Missouri
9246,9453,Beaverhead County,Montana
12865,13319,Big Horn County,Montana
6491,6681,Blaine County,Montana
5612,6237,Broadwater County,Montana
10078,10725,Carbon County,Montana
1160,1252,Carter County,Montana
81327,81366,Cascade County,Montana
5813,5635,Chouteau County,Montana
